aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
37分钟,2017/6/15 11:11,0.831,HTTPS,119.7.76.85:808,四川德阳,4.155
,,,,,,
1分钟,2017/6/15 11:11,0.075,HTTPS,124.72.97.33:808,福建泉州,0.379
,,,,,,
26分钟,2017/6/15 11:10,0.047,HTTPS,123.55.178.1:808,河南三门峡,0.237
,,,,,,
54分钟,2017/6/15 11:10,0.032,HTTP,118.255.156.95:80,湖南娄底,0.164
,,,,,,
1分钟,2017/6/15 11:01,0.503,HTTP,153.36.51.245:808,江苏,2.515
,,,,,,
4天,2017/6/15 11:00,0.046,HTTPS,115.213.177.0:808,浙江丽水,0.23
,,,,,,
107天,2017/6/15 10:52,0.109,HTTP,119.5.1.46:808,四川南充,0.549
,,,,,,
478天,2017/6/15 10:51,0.39,HTTP,110.73.0.231:8123,广西防城港,1.953
,,,,,,
39天,2017/6/15 10:45,0.45,HTTP,111.202.120.49:8118,北京,2.252
,,,,,,
1分钟,2017/6/15 10:45,0.378,HTTPS,171.12.132.83:808,河南,1.893
,,,,,,
1分钟,2017/6/15 10:45,0.661,HTTPS,114.238.114.142:808,江苏淮安,3.309
,,,,,,
1分钟,2017/6/15 10:44,1.547,HTTPS,171.12.234.87:808,河南,7.738
,,,,,,
100天,2017/6/15 10:41,0.376,HTTP,175.155.25.108:808,四川德阳,1.882
,,,,,,
5小时,2017/6/15 10:36,0.035,HTTPS,123.163.162.241:808,河南三门峡,0.179
,,,,,,
48天,2017/6/15 10:33,0.222,HTTPS,119.5.1.83:808,四川南充,1.11
,,,,,,
72天,2017/6/15 10:33,0.211,HTTP,115.220.145.14:808,浙江宁波,1.056
,,,,,,
1分钟,2017/6/15 10:33,0.271,HTTPS,220.160.10.214:808,福建福州,1.358
,,,,,,
3天,2017/6/15 10:33,0.324,HTTPS,122.245.68.237:808,浙江宁波,1.623
,,,,,,
1分钟,2017/6/15 10:30,0.963,HTTP,123.170.77.120:808,山东日照,4.817
,,,,,,
1分钟,2017/6/15 10:30,0.491,HTTP,36.249.24.8:808,福建泉州,2.458
,,,,,,
100天,2017/6/15 10:30,0.277,HTTP,175.155.24.73:808,四川德阳,1.386
,,,,,,
1分钟,2017/6/15 10:30,1.458,HTTP,123.170.96.188:808,山东日照,7.292
,,,,,,
42天,2017/6/15 10:30,0.084,HTTPS,175.155.25.25:808,四川德阳,0.421
,,,,,,
1分钟,2017/6/15 10:22,0.831,HTTPS,123.170.89.172:808,山东日照,4.159
,,,,,,
23天,2017/6/15 10:22,0.049,HTTPS,119.7.81.69:808,四川,0.246
,,,,,,
96天,2017/6/15 10:22,0.081,HTTP,175.155.71.78:808,四川德阳,0.408
,,,,,,
1分钟,2017/6/15 10:22,0.082,HTTPS,175.155.142.58:808,四川德阳,0.414
,,,,,,
9天,2017/6/15 10:15,0.648,HTTPS,123.55.184.104:808,河南三门峡,3.242
,,,,,,
7小时,2017/6/15 10:15,0.686,HTTP,182.38.111.24:808,山东,3.431
,,,,,,
37天,2017/6/15 10:15,0.394,HTTPS,125.89.120.143:808,广东河源,1.97
,,,,,,
1天,2017/6/15 10:14,0.032,HTTP,36.24.36.8:8118,浙江,0.16
,,,,,,
89天,2017/6/15 10:12,0.078,HTTP,114.239.146.93:808,江苏宿迁市泗阳县,0.39
,,,,,,
29天,2017/6/15 10:12,0.039,HTTPS,221.229.47.121:808,江苏扬州,0.195
,,,,,,
108天,2017/6/15 10:11,0.051,HTTP,175.155.24.10:808,四川德阳,0.257
,,,,,,
1分钟,2017/6/15 10:11,0.062,HTTPS,60.167.134.39:808,安徽芜湖,0.312
,,,,,,
5小时,2017/6/15 10:10,0.209,HTTP,58.19.83.180:808,湖北武汉,1.048
,,,,,,
1分钟,2017/6/15 10:00,0.631,HTTP,123.163.165.123:808,河南三门峡,3.159
,,,,,,
1分钟,2017/6/15 10:00,0.642,HTTPS,123.163.165.123:808,河南三门峡,3.212
,,,,,,
1分钟,2017/6/15 10:00,1.588,HTTPS,115.203.79.19:808,浙江台州,7.944
,,,,,,
65天,2017/6/15 10:00,0.142,HTTPS,115.220.146.211:808,浙江宁波,0.71
,,,,,,
14小时,2017/6/15 10:00,0.031,HTTPS,182.34.33.249:808,山东烟台,0.158
,,,,,,
63天,2017/6/15 9:55,0.067,HTTP,115.220.145.5:808,浙江宁波,0.337
,,,,,,
1分钟,2017/6/15 9:55,0.081,HTTPS,115.213.203.94:808,浙江丽水,0.407
,,,,,,
30天,2017/6/15 9:52,0.051,HTTPS,221.229.44.75:808,江苏扬州,0.255
,,,,,,
325天,2017/6/15 9:52,0.078,HTTP,111.155.124.72:8123,北京,0.392
,,,,,,
108天,2017/6/15 9:50,0.041,HTTP,175.155.25.35:808,四川德阳,0.209
,,,,,,
2小时,2017/6/15 9:40,0.663,HTTP,123.55.177.44:808,河南三门峡,3.317
,,,,,,
57天,2017/6/15 9:33,0.054,HTTP,115.220.5.142:808,浙江宁波,0.274
,,,,,,
5天,2017/6/15 9:33,0.066,HTTPS,140.224.76.197:808,电信骨干网,0.332
,,,,,,
85天,2017/6/15 9:33,1.171,HTTP,110.73.50.202:8123,广西南宁,5.859
,,,,,,
27天,2017/6/15 9:30,1.219,HTTP,123.55.91.56:808,河南新乡,6.095
,,,,,,
73天,2017/6/15 9:30,0.044,HTTP,115.220.144.21:808,浙江宁波,0.222
,,,,,,
1小时,2017/6/15 9:30,1.205,HTTPS,119.7.73.219:808,四川德阳,6.026
,,,,,,
10天,2017/6/15 9:30,0.892,HTTPS,122.241.73.137:808,浙江丽水,4.46
,,,,,,
1分钟,2017/6/15 9:30,0.456,HTTP,183.151.41.233:808,浙江丽水,2.281
,,,,,,
96天,2017/6/15 9:29,0.787,HTTP,119.5.0.57:808,四川南充,3.935
,,,,,,
108天,2017/6/15 9:23,0.043,HTTP,119.5.1.33:808,四川南充,0.219
,,,,,,
61天,2017/6/15 9:22,1.21,HTTP,117.91.138.152:808,江苏扬州,6.053
,,,,,,
1分钟,2017/6/15 9:22,0.699,HTTPS,123.169.90.4:808,山东淄博,3.495
,,,,,,
4天,2017/6/15 9:22,0.717,HTTPS,123.55.191.101:808,河南三门峡,3.589
,,,,,,
1小时,2017/6/15 9:20,0.044,HTTPS,60.184.175.179:808,浙江丽水,0.222
,,,,,,
1小时,2017/6/15 9:13,0.603,HTTPS,119.7.73.246:808,四川德阳,3.017
,,,,,,
1分钟,2017/6/15 9:11,0.28,HTTPS,180.110.4.80:808,江苏南京,1.4
,,,,,,
1分钟,2017/6/15 9:11,0.046,HTTPS,115.202.174.98:808,浙江台州,0.233
,,,,,,
1分钟,2017/6/15 9:11,0.094,HTTPS,125.89.120.176:808,广东河源,0.472
,,,,,,
1分钟,2017/6/15 9:11,0.034,HTTPS,123.55.185.34:808,河南三门峡,0.17
,,,,,,
1分钟,2017/6/15 9:11,0.041,HTTPS,121.226.160.204:808,江苏,0.209
,,,,,,
1分钟,2017/6/15 9:11,0.204,HTTPS,122.241.30.200:808,浙江丽水,1.02
,,,,,,
157天,2017/6/15 9:03,0.219,HTTP,218.86.128.36:8118,贵州贵阳,1.098
,,,,,,
31分钟,2017/6/15 9:02,0.246,HTTP,115.220.5.97:808,浙江宁波,1.231
,,,,,,
5分钟,2017/6/15 9:00,0.119,HTTPS,115.220.148.200:808,浙江宁波,0.595
,,,,,,
190天,2017/6/15 9:00,0.049,HTTP,115.220.148.193:808,浙江宁波,0.246
,,,,,,
471天,2017/6/15 9:00,0.066,HTTP,182.90.61.23:80,广西梧州,0.33
,,,,,,
1分钟,2017/6/15 9:00,0.046,HTTPS,49.86.62.181:808,江苏扬州,0.234
,,,,,,
93天,2017/6/15 9:00,0.392,HTTP,175.155.138.212:808,四川德阳,1.963
,,,,,,
46天,2017/6/15 9:00,0.968,HTTPS,221.229.47.224:808,江苏扬州,4.841
,,,,,,
24天,2017/6/15 9:00,0.054,HTTP,60.178.85.155:808,浙江宁波,0.272
,,,,,,
1分钟,2017/6/15 9:00,0.373,HTTPS,175.155.136.68:808,四川德阳,1.869
,,,,,,
96天,2017/6/15 9:00,0.05,HTTP,119.5.0.12:808,四川南充,0.253
,,,,,,
34天,2017/6/15 8:55,1.409,HTTPS,123.169.86.73:808,山东淄博,7.049
,,,,,,
1分钟,2017/6/15 8:55,0.108,HTTPS,171.38.165.124:8123,广西钦州,0.544
,,,,,,
106天,2017/6/15 8:50,0.047,HTTP,175.155.24.17:808,四川德阳,0.239
,,,,,,
1分钟,2017/6/15 8:46,0.167,HTTP,123.163.163.54:808,河南三门峡,0.835
,,,,,,
1分钟,2017/6/15 8:45,0.043,HTTPS,115.151.6.123:808,江西宜春,0.217
,,,,,,
